BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
40.90074900000002,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.80208400000004,139.50978700000002,0.0,12.0,0
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0
2495.148862,1.0,773.1699999999998,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0
1666.670542,0.636364,1499.0,1004.1800000000001,0.0,205.788017,0.08333299999999999,0.083333,0.0,0.083333,1.0,1.0,7500.0,0.0,182.82620025,0.0,12.0,0
817.714335,1.0,16.0,16.0,0.0,0.0,0.08333299999999999,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12.0,0
1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,1249.4061575,0.0,12.0,0
627.260806,1.0,1660.0925,802.47,688.38,0.0,1.0,1.0,0.9999999999999999,0.0,0.0,29.75,13500.0,2750.02975375,198.065894,1.0,12.0,0
1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12.0,0
1014.926473,1.0,861.49,661.4899999999999,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0,0
152.22597499999995,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.30226199999998,0.0,12.0,0
1293.124939,1.0,920.1200000000001,0.0,920.12,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,12.0,1200.0,1083.301007,1515.7705232500002,0.0,12.0,0
630.794744,0.818182,1492.18,984.975,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.618627,155.549069,0.0,12.0,0
1516.9286200000001,1.0,1117.9025,459.885,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.263689,490.20701299999996,0.25,12.0,0
921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.891435,251.137986,0.083333,12.0,0
2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,805.647974,989.962866,0.0,12.0,0
3308.5729545,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4.0,11.0,8000.0,1993.439277,1085.2864225,0.0,12.0,0
2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3.0,0.0,3000.0,391.974562,376.579631,0.0,8.0,0
41.08948899999996,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0.0,8.0,2500.0,254.590662,73.20322099999998,0.25,12.0,0
1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0.0,9.0,13000.0,1720.837373,744.613395,0.0,12.0,0
3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,12.0,4000.0,1053.980464,1113.6844312499998,0.0,12.0,0
2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,2000.0,223.06860000000006,631.12253075,0.0,12.0,0
4605.079159,1.0,2109.2599999999998,1120.7074999999998,449.91,229.028245,1.0,0.9166670000000001,0.9999999999999999,0.333333,6.0,32.75,11250.0,2077.959051,1659.775075,0.0,12.0,0
132.34224000000006,0.636364,815.9000000000001,0.0,815.9,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,17.0,1800.0,2359.629958,86.329554,0.0,12.0,0
3800.151377,0.818182,582.3225,0.0,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13.0,13.0,9000.0,2424.9427115000003,1425.4265249999999,0.0,12.0,0
4568.452738500001,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4.0,0.0,6000.0,1422.7267070000003,1657.002877,0.0,11.0,0
169.78167900000005,1.0,399.6,0.0,399.6,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,12.0,3000.0,215.30614200000002,163.005536,0.0,12.0,0
1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5.0,2.0,1700.0000000000002,890.178845,971.183209,0.0,12.0,0
125.69481699999994,1.0,233.28,0.0,233.28,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,12.0,1000.0,207.77371500000004,164.748819,0.0,12.0,0
4124.92596325,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16.0,8.0,10500.0,1601.448347,1648.851345,0.0,12.0,0
22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,6900.0,160.76777300000003,159.684442,0.0,12.0,0
2839.3215322499996,1.0,2375.7699999999995,1013.2,2024.81,3183.583301,1.0,0.166667,0.9999999999999999,0.5,10.0,18.5,13000.0,2426.794101,1118.840133,0.0,12.0,0
1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,0.9999999999999999,0.166667,2.0,24.749999999999996,6000.0,645.998299,256.848991,0.0,12.0,0
2130.6435815,1.0,324.95,324.95,0.0,1189.533753,0.08333299999999999,0.083333,0.0,0.166667,3.0,3.0,10500.0,1720.118876,818.9694155,0.0,12.0,0
125.66045299999996,1.0,636.79,636.79,0.0,0.0,0.916667,0.9166670000000001,0.0,0.0,0.0,11.0,1200.0,423.449696,196.301885,0.3,12.0,0
3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,14.0,11000.0,1375.2027155,514.83215675,0.0,12.0,0
1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1.0,0.0,1800.0,351.50019899999995,634.569311,0.0,12.0,0
4022.8362637500004,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11.0,0.0,9000.0,1636.361601,1380.4380035,0.0,11.0,0
4047.480828,1.0,2380.55,970.1850000000001,738.38,1697.660901,0.75,0.5000000000000001,0.75,0.333333,7.0,41.0,5000.0,1617.894416,1541.1416049999998,0.0,12.0,0
3774.8782895,1.0,204.0,204.0,0.0,2925.699862,0.08333299999999999,0.083333,0.0,0.333333,12.0,2.0,9000.0,1237.111661,1207.58376075,0.0,12.0,0
1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.08333299999999999,0.083333,0.0,0.333333,6.0,6.0,7500.0,1425.562184,719.948985,0.333333,12.0,0
663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3.0,0.0,1800.0,3067.0578299999997,283.333445,0.166667,12.0,0
784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11.0,27.0,3000.0,1262.309666,363.142736,0.111111,12.0,0
4104.710798,1.0,203.82,203.82,0.0,0.0,0.08333299999999999,0.083333,0.0,0.0,0.0,1.0,4500.0,868.275275,1801.2648409999997,0.0,12.0,0
1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1.0,0.0,1500.0,378.29422700000003,321.354137,0.0,12.0,0
3215.45501875,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,0.9999999999999999,0.0,0.0,20.0,8500.0,1430.341501,1318.71492,0.0,12.0,0
2242.311686,1.0,437.0,97.0,340.0,184.64869199999998,0.333333,0.083333,0.333333,0.166667,2.0,5.0,2400.0,0.0,716.12201975,0.0,12.0,0
474.447149,0.5,109.74000000000001,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1.0,3.0,1700.0000000000002,176.01300500000002,147.199792,0.0,8.0,0
3910.1112369999996,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7.0,0.0,4200.0,0.0,1263.8400657500001,0.0,12.0,0
229.86717899999996,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,0.9999999999999999,0.0,0.0,32.75,3300.0,2543.9535589999996,175.657825,0.916667,12.0,0
863.809833,1.0,507.5,507.50000000000006,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2.0,3.0,4000.0,587.866451,286.448719,0.083333,12.0,0
4931.331857,1.0,901.4200000000001,646.0700000000002,255.35,8530.648614,0.625,0.375,0.25,0.875,37.0,9.0,12000.0,2094.9650359999996,1012.415961,0.0,8.0,0
1078.888565,1.0,1549.54,786.49,886.11,0.0,0.666667,0.583333,0.5,0.0,0.0,18.0,2500.0,1399.82834,1322.446601,0.0,12.0,0
1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3.0,0.0,3500.0,691.825279,581.481917,0.0,12.0,0
464.6741559999999,0.888889,1979.22,748.1574999999999,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1.0,11.0,3000.0,3110.0527420000003,132.446091,0.2,9.0,0
6.660517000000027,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,1000.0,417.016763,145.35149475000003,0.0,12.0,0
1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,6000.0,0.0,341.105868,0.0,12.0,0
3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5.0,4.0,4000.0,0.0,706.54946625,0.0,12.0,0
2386.330629,1.0,2108.745,1205.7475,428.53,0.0,0.916667,0.9166670000000001,0.5,0.0,0.0,29.250000000000004,7500.0,2596.6281877499996,1311.514878,0.083333,12.0,0
3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3.0,0.0,4000.0,764.938728,1600.212243,0.0,11.0,0
1374.87105625,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4.0,6.0,6000.0,2110.557023,682.2589274999999,0.0,12.0,0
1879.1140329999998,0.727273,113.0,113.00000000000001,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,6500.0,3509.686561,548.105836,0.0,12.0,0
1555.793701,1.0,66.19999999999999,66.2,0.0,0.0,0.08333299999999999,0.083333,0.0,0.0,0.0,1.0,1600.0,338.083661,837.215674,0.0,12.0,0
809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7.0,0.0,4150.0,1143.664781,241.645387,0.090909,11.0,0
7.152356000000054,0.09090900000000002,840.0,840.0,0.0,0.0,0.08333299999999999,0.083333,0.0,0.0,0.0,1.0,1600.0,0.0,388.7040565,0.0,12.0,0
1923.886805,1.0,1887.64,0.0,1887.64,1605.949371,1.0,0.0,0.9999999999999999,0.083333,4.0,17.75,1850.0,3688.045998,1467.74523125,0.083333,12.0,0
1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0.0,11.0,1800.0,777.451648,897.905444,0.0,12.0,0
809.847455,0.875,0.0,0.0,0.0,908.4236080000001,0.0,0.0,0.0,0.125,1.0,0.0,1500.0,146.07476900000006,179.412493,0.0,8.0,0
1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6.0,0.0,2500.0,540.022225,352.883804,0.0,12.0,0
3990.523579,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0.0,8.0,6000.0,1163.83242225,1001.607366,0.083333,12.0,0
1699.4354859999999,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,4.0,1700.0000000000002,1623.8163480000003,923.505868,0.0,12.0,0
3308.6903045,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4.0,11.0,6250.0,1288.214909,1023.86057025,0.0,12.0,0
2990.422186,0.909091,437.665,160.795,2859.18,27296.48576,0.666667,0.5000000000000001,0.583333,0.833333,27.0,33.0,7000.0,2128.8368665,1107.030803,0.454545,12.0,0
656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3.0,0.0,7000.0,910.457985,140.983193,0.25,8.0,0
1808.9724189999997,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0.0,8.0,2250.0,889.017418,622.757696,0.0,10.0,0
532.334517,0.909091,791.94,516.64,275.3,0.0,0.272727,0.090909,0.181818,0.0,0.0,7.0,6000.0,1305.177304,175.510344,0.0,11.0,0
1931.441534,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0.0,14.0,6000.0,1990.044998,632.5268112499999,0.0,12.0,0
1727.638449,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,11000.0,2959.920544,623.656993,0.0,12.0,0
578.809679,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.666667,0.0,0.0,8.0,1500.0,1438.910569,190.186542,0.0,12.0,0
1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,29.27867100000003,408.87576824999996,0.0,12.0,0
2693.58028525,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7.0,7.0,7000.0,1624.583114,1086.31424925,0.0,12.0,0
17.357563000000027,0.909091,244.85,40.21,204.64,0.0,0.666667,0.166667,0.583333,0.0,0.0,13.0,5000.0,357.802082,121.523416,0.181818,12.0,0
81.58471099999997,0.27272699999999994,0.0,0.0,0.0,2985.300006,0.0,0.0,0.0,0.166667,5.0,0.0,9500.0,116.56903299999999,164.692136,0.0,12.0,0
3.7863099999999577,0.636364,133.05,28.2,104.85,0.0,0.416667,0.166667,0.25,0.0,0.0,5.0,12000.0,210.05343199999993,99.53373499999998,0.444444,12.0,0
42.46442999999999,0.545455,396.0,0.0,396.0,0.0,0.5,0.0,0.416667,0.0,0.0,12.0,1200.0,725.606194,140.809454,1.0,12.0,0
1935.362486,1.0,2016.3025,873.505,400.26,293.844792,1.0,1.0,0.333333,0.083333,1.0,27.25,9000.0,3243.474801,594.756686,0.0,12.0,0
134.91720199999997,1.0,1247.8,1247.8000000000002,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,8875.0,1275.229436,171.357189,1.0,12.0,0
3165.8888354999995,1.0,1603.78,717.795,158.64,5626.004046,1.0,0.833333,0.9999999999999999,0.75,23.0,23.0,11000.0,2068.072932,1657.8399479999998,0.0,12.0,0
3071.1908777500003,1.0,2258.01,1318.78,939.23,5251.228934,1.0,0.75,0.9999999999999999,0.75,21.0,26.750000000000004,13500.0,3021.575846,859.8132975,0.0,12.0,0
4037.3056580000007,1.0,45.0,45.0,0.0,104.238064,0.08333299999999999,0.083333,0.0,0.083333,1.0,1.0,4500.0,1073.844885,968.941265,0.0,12.0,0
