Class,feature,q1,q3,iqr,lower,upper,n_outliers,outlier_fraction
BARBUNYA,Area,62931.0,76306.5,13375.5,42867.75,96369.75,12,0.009077155824508321
BARBUNYA,Perimeter,989.129,1103.84725,114.71825000000001,817.0516250000001,1275.924625,20,0.015128593040847202
BARBUNYA,MajorAxisLength,348.6673607,392.83527575,44.167915049999976,282.415488125,459.08714832499993,10,0.007564296520423601
BARBUNYA,MinorAxisLength,227.46627935,253.24144,25.775160650000004,188.80353837500002,291.90418097500003,10,0.007564296520423601
BARBUNYA,AspectRation,1.460420891,1.62981694025,0.16939604924999996,1.2063268171250001,1.883911014125,11,0.00832072617246596
BARBUNYA,Eccentricity,0.7287929667499999,0.78964355725,0.06085059050000008,0.6375170809999998,0.8809194430000001,31,0.023449319213313162
BARBUNYA,ConvexArea,64037.75,77695.25,13657.5,43551.5,98181.5,12,0.009077155824508321
BARBUNYA,EquivDiameter,283.0657835,311.6992995,28.633515999999986,240.11550950000003,354.6495735,13,0.009833585476550681
BARBUNYA,Extent,0.71601485825,0.7818758245,0.06586096625000004,0.6172234088749999,0.8806672738750001,0,0.0
BARBUNYA,Solidity,0.9806191915,0.98549174975,0.004872558249999992,0.973310354125,0.992800587125,33,0.024962178517397883
BARBUNYA,roundness,0.7731880705,0.8350171865,0.06182911599999996,0.6804443965000001,0.9277608605,26,0.019667170953101363
BARBUNYA,Compactness,0.78188137125,0.8258094565,0.043928085250000026,0.7159892433749999,0.891701584375,15,0.0113464447806354
BARBUNYA,ShapeFactor1,0.00505535875,0.0056197750000000005,0.0005644162500000006,0.0042087343749999985,0.006466399375000001,16,0.012102874432677761
BARBUNYA,ShapeFactor2,0.00124067925,0.0015222865,0.00028160725,0.000818268375,0.001944697375,18,0.01361573373676248
BARBUNYA,ShapeFactor3,0.611338479,0.68196125875,0.07062277974999998,0.505404309375,0.7878954283749999,17,0.012859304084720122
BARBUNYA,ShapeFactor4,0.99468554275,0.997506726,0.0028211832500000256,0.990453767875,1.0017385008750002,54,0.04084720121028744
BOMBAY,Area,156711.25,186599.0,29887.75,111879.625,231430.625,7,0.013409961685823755
BOMBAY,Perimeter,1505.989,1656.2155,150.2265,1280.64925,1881.55525,7,0.013409961685823755
BOMBAY,MajorAxisLength,555.736161925,630.113198,74.37703607499998,444.17060781250007,741.6787521125,1,0.0019157088122605363
BOMBAY,MinorAxisLength,357.2358977,388.23464845,30.99875075,310.737771575,434.732774575,7,0.013409961685823755
BOMBAY,AspectRation,1.5007070865,1.660164798,0.1594577115,1.26152051925,1.89935136525,5,0.009578544061302681
BOMBAY,Eccentricity,0.745636534,0.7982320265,0.05259549250000006,0.6667432952499999,0.8771252652500001,7,0.013409961685823755
BOMBAY,ConvexArea,158445.5,189750.75,31305.25,111487.625,236708.625,7,0.013409961685823755
BOMBAY,EquivDiameter,446.688855775,487.427147375,40.738291600000025,385.58141837499994,548.534584775,6,0.011494252873563218
BOMBAY,Extent,0.75489671225,0.80441789425,0.049521182,0.68061493925,0.87869966725,12,0.022988505747126436
BOMBAY,Solidity,0.984989994,0.99030834725,0.005318353250000074,0.9770124641249999,0.9982858771250002,27,0.05172413793103448
BOMBAY,roundness,0.84641944175,0.8835348270000001,0.03711538525000013,0.7907463638749997,0.9392079048750003,4,0.007662835249042145
BOMBAY,Compactness,0.7722089745,0.81390198275,0.04169300825,0.709669462125,0.876441495125,5,0.009578544061302681
BOMBAY,ShapeFactor1,0.00330121725,0.003595505,0.0002942877500000003,0.0028597856249999993,0.004036936625000001,2,0.0038314176245210726
BOMBAY,ShapeFactor2,0.00074409475,0.000931555,0.00018746025000000006,0.0004629043749999999,0.0012127453750000001,6,0.011494252873563218
BOMBAY,ShapeFactor3,0.5963067009999999,0.6624364819999999,0.066129781,0.49711202949999994,0.7616311535,5,0.009578544061302681
BOMBAY,ShapeFactor4,0.989767536,0.9950930625000001,0.005325526500000066,0.9817792462499999,1.0030813522500002,20,0.038314176245210725
CALI,Area,69343.5,81304.75,11961.25,51401.625,99246.625,29,0.017791411042944787
CALI,Perimeter,1014.514,1101.16125,86.6472500000001,884.5431249999999,1231.1321250000003,26,0.015950920245398775
CALI,MajorAxisLength,390.79043425000003,428.186788625,37.39635437499999,334.69590268750005,484.2813201875,20,0.012269938650306749
CALI,MinorAxisLength,226.912002575,244.999324825,18.08732225,199.7810192,272.1303082,38,0.023312883435582823
CALI,AspectRation,1.6744801505,1.79348515975,0.1190050092499999,1.4959726366250001,1.9719926736249997,23,0.01411042944785276
CALI,Eccentricity,0.80209215425,0.830127499,0.028035344750000024,0.7600391371249999,0.872180516125,31,0.01901840490797546
CALI,ConvexArea,70282.5,82491.0,12208.5,51969.75,100803.75,28,0.01717791411042945
CALI,EquivDiameter,297.13782385,321.7458973,24.608073450000006,260.225713675,358.65800747500003,25,0.015337423312883436
CALI,Extent,0.732358139,0.79247076225,0.06011262325,0.642189204125,0.882639697125,7,0.004294478527607362
CALI,Solidity,0.98161629225,0.9895142475,0.007897955250000033,0.969769359375,1.001361180375,29,0.017791411042944787
CALI,roundness,0.8308534385,0.86162430825,0.030770869749999985,0.7846971338750001,0.907780612875,18,0.011042944785276074
CALI,Compactness,0.74285828975,0.7695634247500001,0.026705135000000046,0.7028005872499999,0.8096211272500001,25,0.015337423312883436
CALI,ShapeFactor1,0.00524274325,0.00566300475,0.00042026149999999964,0.004612351000000001,0.006293396999999999,29,0.017791411042944787
CALI,ShapeFactor2,0.00102038525,0.001175302,0.00015491675,0.0007880101250000001,0.001407677125,33,0.020245398773006136
CALI,ShapeFactor3,0.5518384385,0.59222786625,0.040389427749999984,0.49125429687500005,0.6528120078749999,26,0.015950920245398775
CALI,ShapeFactor4,0.9881917045,0.9937330515,0.005541346999999974,0.9798796840000001,1.002045072,41,0.025153374233128835
DERMASON,Area,28549.25,35581.0,7031.75,18001.625,46128.625,0,0.0
DERMASON,Perimeter,628.3512499999999,702.65875,74.30750000000012,516.8899999999998,814.1200000000002,1,0.0002820078962210942
DERMASON,MajorAxisLength,231.6637675,261.082358925,29.41859142499999,187.53588036250002,305.2102460625,6,0.001692047377326565
DERMASON,MinorAxisLength,156.51520215,175.028565775,18.51336362500001,128.74515671249998,202.79861121250002,2,0.0005640157924421884
DERMASON,AspectRation,1.425820396,1.55013454775,0.12431415174999993,1.239349168375,1.7366057753749997,51,0.014382402707275803
DERMASON,Eccentricity,0.7128164747500001,0.76409368475,0.05127720999999985,0.6359006597500003,0.8410094997499997,57,0.016074450084602367
DERMASON,ConvexArea,28910.0,35984.5,7074.5,18298.25,46596.25,0,0.0
DERMASON,EquivDiameter,190.656848975,212.8453341,22.188485125,157.3741212875,246.1280617875,0,0.0
DERMASON,Extent,0.72157007225,0.78520868675,0.06363861449999997,0.6261121505,0.8806666084999999,0,0.0
DERMASON,Solidity,0.9873277855,0.989872635,0.0025448495000000015,0.98351051125,0.99368990925,148,0.04173716864072194
